,id,price,latitude,longitude,accommodates,bathrooms,bedrooms,is_location_exact,number_of_reviews,review_scores_rating,reviews_per_month
0,16025946,117.0,48.8841322560025,2.3254122514655995,2,1.0,0.0,t,0,,
1,7375326,70.0,48.886407242998885,2.323619487159477,2,1.0,1.0,t,9,85.0,0.75
2,6457826,85.0,48.887202302182885,2.3200464532650686,4,1.0,1.0,t,18,94.0,0.91
3,297658,230.0,48.88728835529462,2.2972430036492546,3,1.0,1.0,t,1,100.0,0.02
4,1825556,80.0,48.89013271299561,2.318105334517941,4,1.0,1.0,t,5,96.0,0.24
5,13142960,95.0,48.883572049144966,2.3007983933498197,3,1.0,1.0,t,0,,
6,12248043,50.0,48.886962960649775,2.3114981611895917,2,1.0,1.0,f,13,95.0,1.29
7,16616942,170.0,48.88401540509679,2.292703207708457,5,1.0,2.0,t,0,,
8,7407664,79.0,48.892627692190764,2.3235117758869333,5,1.0,2.0,t,1,100.0,0.05
9,2173967,210.0,48.877524210284136,2.2911489728823744,4,1.0,2.0,t,1,80.0,0.03
10,2164819,250.0,48.87461436985951,2.2931769809336178,4,1.0,2.0,t,9,96.0,0.28
11,8056748,90.0,48.88825978979654,2.3170572640034965,6,1.0,2.0,t,6,93.0,0.37
12,7276681,225.0,48.881033525952176,2.2915652694772266,4,2.0,2.0,t,1,,0.06
13,6259060,170.0,48.88793395316896,2.30346335369533,6,1.0,2.0,t,0,,
14,9242808,60.0,48.88999821281749,2.3226998441813618,2,1.0,1.0,t,11,98.0,0.74
15,8718554,50.0,48.88888582565068,2.3250957486900705,2,1.0,1.0,t,0,,
16,847876,73.0,48.89248203089199,2.324094393507173,4,1.0,0.0,t,11,100.0,1.51
17,8843296,60.0,48.87946236968951,2.2907357947033766,2,1.0,1.0,t,7,94.0,0.54
18,13074817,60.0,48.89136405331692,2.3205886733896137,2,1.0,1.0,t,4,100.0,0.53
19,6608600,75.0,48.88550783734803,2.3192289003687727,2,1.0,1.0,t,1,100.0,0.06
20,9898244,70.0,48.87940412280807,2.2885672410499103,3,1.0,0.0,f,42,91.0,3.1
