,id,price,latitude,longitude,accommodates,bathrooms,bedrooms,is_location_exact,number_of_reviews,review_scores_rating,reviews_per_month
0,3176,90.0,52.53499619158672,13.417578665333295,4,1.0,1.0,t,144,92.0,1.25
1,9991,180.0,52.53303076802682,13.416046823956403,7,2.5,4.0,f,6,100.0,0.15
2,14325,70.0,52.547846407992154,13.405562243722455,2,1.0,0.0,t,23,93.0,0.22
3,16644,90.0,52.504792273859145,13.435101853886053,5,1.0,1.0,t,48,94.0,0.46
4,17904,49.0,52.49547632662389,13.421821277536653,2,1.0,,f,226,96.0,2.11
5,21869,70.0,52.502733334069404,13.434619857852766,4,1.0,1.0,t,60,95.0,0.6
6,22677,160.0,52.53434836322022,13.405576517191427,5,1.0,1.0,t,225,94.0,2.26
7,24569,90.0,52.53079085230837,13.41808443901994,4,2.5,2.0,t,18,94.0,0.18
8,25634,31.0,52.47879677267706,13.419114086418967,2,1.0,1.0,t,49,92.0,0.48
9,25653,90.0,52.53025873628243,13.419466962263806,4,2.5,2.0,t,5,100.0,0.05
10,26543,197.0,52.544062391196874,13.421376521988275,8,2.0,2.0,t,164,91.0,1.62
11,28156,70.0,52.546719368149425,13.405117021304426,2,1.0,0.0,t,29,92.0,0.3
12,28268,90.0,52.51338523184102,13.469947507779649,6,1.0,2.0,f,30,91.0,0.33
13,28711,60.0,52.48610614913479,13.43481698170685,3,,1.0,t,1,100.0,0.02
14,29279,130.0,52.54178764990126,13.42388315889975,4,1.0,2.0,f,69,96.0,0.69
15,30295,100.0,52.54596726018988,13.422358872353616,8,1.0,2.0,t,244,95.0,2.43
16,33043,62.0,52.521417975814856,13.357082298389068,4,1.0,1.0,t,148,89.0,1.46
17,38074,80.0,52.53680114276391,13.42546637252866,2,1.0,1.0,t,102,89.0,1.02
18,38296,80.0,52.485862608293196,13.423619080920696,2,1.0,1.0,t,6,87.0,0.06
19,42809,119.0,52.51175980499001,13.455361679724279,4,1.0,2.0,t,111,97.0,1.15
20,43123,90.0,52.53946252929092,13.408834096612914,4,1.0,1.0,f,65,96.0,0.65
21,47938,160.0,52.53219075931284,13.41987524532209,6,2.0,2.0,t,35,100.0,0.35
22,48955,70.0,52.536267062778556,13.420812783549412,2,1.0,1.0,t,0,,
23,52734,88.0,52.51120880705793,13.457278071959973,2,1.0,1.0,t,5,100.0,0.07
24,55455,90.0,52.521145362296046,13.40608326685905,2,1.0,1.0,t,1,100.0,0.01
25,55853,55.0,52.503403011698865,13.292025527066214,2,1.0,1.0,t,12,95.0,0.17
26,56960,48.0,52.53170301767854,13.432564636424301,2,1.0,1.0,f,53,96.0,0.88
27,57049,200.0,52.547867835067684,13.404167372432338,5,2.0,2.0,t,81,98.0,0.83
