,id,price,latitude,longitude,accommodates,bathrooms,bedrooms,is_location_exact,number_of_reviews,review_scores_rating,reviews_per_month
0,14252951,175.0,37.783442157250974,-122.49254959712944,2,1.0,1.0,t,5,100.0,0.72
1,7856443,195.0,37.78227777410354,-122.49278426951248,6,2.5,3.0,t,20,98.0,2.05
2,69681,170.0,37.77706906926253,-122.50923187258286,4,2.0,3.0,t,5,90.0,0.08
3,15664146,295.0,37.78436456347278,-122.48951467158257,7,2.0,3.0,t,5,100.0,1.55
4,3168359,183.0,37.77931903796439,-122.50963522313913,4,1.0,1.0,t,101,96.0,3.29
5,91957,300.0,37.76193577248815,-122.4492861428232,6,1.5,2.0,t,72,94.0,1.09
6,3809432,432.0,37.77548058991085,-122.44252080413868,2,1.5,1.0,t,0,,
7,16039976,139.0,37.7718311609159,-122.43982563530191,4,1.0,1.0,t,1,100.0,0.31
8,14008861,205.0,37.77088739026776,-122.4377069175628,6,1.0,2.0,f,9,100.0,1.23
9,5849626,200.0,37.7745175838356,-122.44490079119156,2,1.0,0.0,t,82,99.0,3.89
10,126046,221.0,37.7681347587221,-122.44493597270329,5,1.0,3.0,t,75,97.0,1.13
11,1561827,156.0,37.77367999903207,-122.43988275583484,2,1.0,1.0,t,5,100.0,0.12
12,8275971,400.0,37.77588359628992,-122.43838438758793,1,1.0,1.0,t,0,,
13,2738331,169.0,37.769175742474744,-122.45000367362442,2,1.0,1.0,t,85,91.0,2.67
14,10881291,800.0,37.76533066331933,-122.44394060836485,5,1.0,2.0,t,0,,
15,330535,177.0,37.768922881983386,-122.44614722135277,6,1.0,3.0,t,106,95.0,1.74
16,6888361,330.0,37.766614042654254,-122.4512405948572,3,1.5,1.0,t,7,100.0,0.35
17,10801460,800.0,37.77169196099909,-122.43992614836577,6,1.0,2.0,t,0,,
18,8908906,320.0,37.771055610169384,-122.44439305048277,4,1.0,1.0,t,0,,
19,671230,250.0,37.768810287836814,-122.44045884348853,2,1.0,1.0,t,9,98.0,0.17
20,3138935,213.0,37.774243791633886,-122.45159028120092,5,1.0,2.0,t,111,84.0,3.31
21,1144148,135.0,37.774474991547386,-122.448178012543,2,1.0,1.0,t,23,95.0,0.53
22,11927222,125.0,37.77436246196308,-122.44827370760387,2,1.0,1.0,t,0,,
23,10058568,215.0,37.76719265642213,-122.44823796238623,4,2.0,2.0,t,4,100.0,0.37
24,130565,350.0,37.76570437020918,-122.44858497595678,5,,2.0,t,6,100.0,0.09
25,16416050,400.0,37.77596145656689,-122.44295454300749,10,2.0,2.0,t,3,100.0,3.0
26,2965351,220.0,37.76250217238756,-122.44936000843805,4,1.0,2.0,t,22,95.0,0.67
27,9633626,350.0,37.77488364762666,-122.43998815725412,6,1.0,3.0,t,0,,
28,8781629,150.0,37.76807541407128,-122.44520558221592,2,1.0,0.0,f,14,100.0,0.87
29,10043166,400.0,37.76482708818961,-122.45131405855948,6,2.0,3.0,t,7,97.0,0.54
30,6414298,90.0,37.76634512047801,-122.450402361698,2,1.0,1.0,t,2,40.0,0.1
31,3701662,349.0,37.77386691710048,-122.44688952561016,4,2.0,2.0,t,23,84.0,0.76
32,149996,168.0,37.769026754090035,-122.44611488634752,4,1.0,1.0,t,92,90.0,1.4
33,1555316,225.0,37.77472551926917,-122.4497739827419,3,1.0,1.0,t,5,95.0,0.16
34,13942216,275.0,37.76418411767554,-122.44543731082369,5,1.5,2.0,t,2,100.0,0.64
35,1309496,260.0,37.77600612631064,-122.44116300471592,4,2.0,3.0,t,18,100.0,0.47
36,1768239,160.0,37.763572241533815,-122.44581171218334,2,1.0,1.0,t,34,99.0,0.82
37,7666482,145.0,37.77367565661318,-122.44564087461659,5,2.0,2.0,t,4,67.0,0.21
38,13466139,175.0,37.77192470560257,-122.45245992658634,2,1.0,1.0,t,3,100.0,0.37
39,4258894,145.0,37.769678080926994,-122.44824926099922,2,1.0,0.0,t,0,,
40,12057024,265.0,37.762527933248315,-122.44884565485023,4,1.5,3.0,t,10,100.0,1.03
41,2825966,169.0,37.764648905716975,-122.44847984237543,2,1.0,0.0,t,50,92.0,1.64
42,8993455,199.0,37.77486466242825,-122.43822602726013,2,1.0,1.0,t,33,98.0,2.13
43,2816626,320.0,37.768358787399286,-122.44811666908116,6,2.0,3.0,t,3,100.0,0.09
44,1259611,190.0,37.770764771065934,-122.43935009901605,2,1.0,1.0,t,89,98.0,2.08
45,13170498,175.0,37.76907131857985,-122.45279419246458,1,1.0,0.0,t,7,89.0,0.93
46,1919372,175.0,37.77570008739193,-122.43847173013019,2,1.0,0.0,t,188,98.0,4.8
47,10480018,143.0,37.7675543943346,-122.44526617103931,2,1.0,0.0,t,19,97.0,1.41
48,10245054,250.0,37.775715599286734,-122.44122542391945,3,1.0,2.0,t,4,53.0,0.42
49,10700645,380.0,37.769482042445155,-122.44650960034555,6,2.0,3.0,t,37,97.0,3.21
50,602036,375.0,37.77585850503626,-122.44242757411492,6,1.0,3.0,t,0,,
51,2061039,290.0,37.77501095854175,-122.44452732711208,4,1.0,2.0,t,0,,
52,10236578,650.0,37.77351657362164,-122.45244203852695,6,1.0,2.0,t,0,,
53,1208928,390.0,37.76918269528775,-122.44848870096943,10,2.0,4.0,t,54,92.0,1.24
54,8811090,590.0,37.76248601348205,-122.4500171193404,8,2.0,3.0,f,0,,
55,8761630,150.0,37.7699439463984,-122.44777597267701,4,1.0,2.0,t,1,80.0,0.06
56,930955,500.0,37.760972104701025,-122.44836887752234,7,2.0,3.0,t,94,92.0,1.92
57,3585034,200.0,37.76110322882,-122.4486502905058,4,1.5,2.0,t,7,100.0,0.22
58,7861157,215.0,37.77454212732908,-122.45109295196418,4,1.0,2.0,t,57,94.0,3.2
59,783149,250.0,37.76712265543896,-122.44870752114801,4,1.0,1.0,t,130,97.0,2.73
60,4846398,350.0,37.77483661001503,-122.44751239337772,4,1.0,2.0,t,1,100.0,0.91
61,3240016,131.0,37.76947241875028,-122.43770415302522,2,1.0,1.0,t,150,96.0,4.59
62,3565068,400.0,37.774131112713754,-122.44109073133879,5,1.0,2.0,t,16,95.0,0.51
63,13297150,260.0,37.767072450791076,-122.44558838646148,2,1.0,1.0,t,3,87.0,0.42
64,13015968,179.0,37.77061324953755,-122.44476510924335,4,1.0,0.0,t,26,92.0,2.83
