,id,price,latitude,longitude,accommodates,bathrooms,bedrooms,is_location_exact,number_of_reviews,review_scores_rating,reviews_per_month
0,18396762,180.0,37.78161681440637,-122.49543499191412,3,1.0,0.0,f,18,99.0,2.78
1,18022892,169.0,37.780375249572,-122.50590289680044,2,1.0,1.0,t,7,100.0,1.0
2,69681,170.0,37.77706906926253,-122.50923187258286,4,2.0,3.0,t,6,92.0,0.08
3,7856443,195.0,37.78227777410354,-122.49278426951248,6,2.5,3.0,t,39,99.0,2.05
4,4781448,299.0,37.781796503922656,-122.49249210833337,6,2.5,3.0,t,8,100.0,0.28
5,14252951,175.0,37.783442157250974,-122.49254959712944,2,1.0,1.0,t,7,100.0,0.43
6,3168359,166.0,37.77931903796439,-122.50963522313913,4,1.0,1.0,t,153,96.0,3.83
7,13170498,175.0,37.76907131857985,-122.45279419246458,2,1.0,0.0,t,16,94.0,0.95
8,1561827,156.0,37.77367999903207,-122.43988275583484,2,1.0,1.0,t,5,100.0,0.1
9,9858310,200.0,37.769514204194564,-122.43872440759942,4,1.0,2.0,t,6,100.0,0.37
10,21239190,200.0,37.77381880096464,-122.44116307874977,4,1.0,2.0,f,0,,
11,1851886,250.0,37.766346390522116,-122.45172343175173,5,1.0,2.0,t,10,93.0,0.21
12,16039976,139.0,37.7718311609159,-122.43982563530191,4,1.0,1.0,t,1,100.0,0.08
13,18139835,275.0,37.77568326902692,-122.44532259389902,4,1.0,2.0,t,4,95.0,1.4
14,10700645,380.0,37.769482042445155,-122.44650960034555,6,2.0,3.0,t,37,97.0,1.77
15,14336685,160.0,37.767301587174686,-122.45275325501193,2,1.0,0.0,t,15,93.0,1.69
16,8192881,150.0,37.76922397372911,-122.44698208257,2,1.0,1.0,t,137,97.0,5.08
17,18023643,150.0,37.76345356863778,-122.44618992593556,4,1.0,1.0,t,2,100.0,2.0
18,3261455,150.0,37.77584491023114,-122.43992006836365,2,1.0,1.0,t,19,94.0,0.81
19,459806,190.0,37.76457287777136,-122.4505394535417,4,1.0,1.0,t,53,93.0,0.79
20,8882531,230.0,37.77546165978882,-122.44904774270726,3,1.0,1.0,t,18,99.0,0.73
21,10455187,150.0,37.77352017718617,-122.4433454733962,2,1.0,0.0,t,20,98.0,0.95
22,10537150,206.0,37.769487952119974,-122.44369423328364,4,1.0,2.0,f,41,91.0,1.84
23,2559297,235.0,37.77506721737034,-122.44093915081335,4,1.0,2.0,t,26,85.0,0.58
24,17288739,625.0,37.772450289744135,-122.44197633860738,6,1.5,3.0,t,1,100.0,1.0
25,11070558,160.0,37.774127067679636,-122.44239950856978,2,1.0,1.0,t,9,98.0,0.42
26,2166428,198.0,37.76687570466795,-122.44645714286308,2,1.0,1.0,t,138,95.0,2.93
27,3133266,600.0,37.76875413915869,-122.44890171699488,8,2.0,3.0,t,55,98.0,1.31
28,19861464,175.0,37.76653187662076,-122.45263697764835,2,1.0,1.0,t,8,95.0,1.71
29,2738331,169.0,37.769175742474744,-122.45000367362442,2,1.0,1.0,t,111,92.0,2.7
30,15134083,349.0,37.771694914221065,-122.43899647768164,4,1.0,2.0,t,20,92.0,1.37
31,715754,160.0,37.76645818368998,-122.4432031000003,4,1.0,1.0,t,78,99.0,1.26
32,7302136,99.0,37.76515704945544,-122.44657635846563,3,1.0,1.0,t,9,100.0,0.32
33,1768239,160.0,37.763572241533815,-122.44581171218334,2,1.0,1.0,t,37,99.0,0.73
34,17233693,210.0,37.769771960680025,-122.4506117328883,5,1.0,3.0,t,9,100.0,0.92
35,13728813,200.0,37.77461805605015,-122.44027258140284,2,1.0,1.0,t,4,95.0,0.28
36,3629365,220.0,37.76610564114426,-122.44561251286757,3,1.0,2.0,t,7,100.0,0.37
37,17977925,375.0,37.769538924935496,-122.44906626337958,6,1.0,3.0,f,31,99.0,3.89
38,3240016,100.0,37.76947241875028,-122.43770415302522,2,1.0,1.0,t,153,96.0,3.64
39,57479,400.0,37.7745946756915,-122.43922880779158,5,2.0,2.0,t,151,99.0,1.75
40,1309496,275.0,37.77600612631064,-122.44116300471592,4,2.0,3.0,t,20,100.0,0.42
41,13772008,200.0,37.77078317692232,-122.44400969601656,2,1.0,0.0,t,2,100.0,0.11
42,783149,250.0,37.76712265543896,-122.44870752114801,2,1.0,1.0,t,136,97.0,2.39
43,20309567,250.0,37.76719884994654,-122.44952266813543,6,1.0,3.0,f,4,100.0,2.03
44,2816626,700.0,37.768358787399286,-122.44811666908116,5,2.0,3.0,t,6,100.0,0.15
45,1975404,325.0,37.77190749502388,-122.43917826991957,3,1.0,1.0,t,58,99.0,1.21
46,8013423,235.0,37.76639439811716,-122.44752085654684,4,2.0,2.0,t,4,95.0,0.14
47,6812179,450.0,37.76978381350102,-122.44489949831345,9,2.0,3.0,t,8,98.0,0.28
48,422720,169.0,37.77133117749775,-122.44710314549204,2,1.0,1.0,t,64,95.0,0.94
49,19702219,289.0,37.769576071652004,-122.45273293529844,3,1.0,1.0,t,1,100.0,0.25
50,7861157,215.0,37.77454212732908,-122.45109295196418,4,1.0,2.0,t,94,94.0,3.46
51,19822088,349.0,37.76955423299128,-122.45194401802428,4,2.0,2.0,t,1,,0.24
52,10043166,400.0,37.76482708818961,-122.45131405855948,6,2.0,3.0,t,12,97.0,0.54
53,91957,300.0,37.76193577248815,-122.4492861428232,6,1.5,2.0,t,86,95.0,1.14
54,1273732,145.0,37.76886494937275,-122.45151802928685,2,1.0,1.0,t,10,94.0,0.19
55,6941379,350.0,37.770986381481826,-122.45053893491374,2,2.0,1.0,t,13,98.0,0.44
56,10480018,143.0,37.7675543943346,-122.44526617103931,2,1.0,0.0,t,28,96.0,1.23
57,4767720,195.0,37.77139189378345,-122.43981197435312,3,1.0,1.0,t,16,100.0,1.23
58,8781629,150.0,37.76807541407128,-122.44520558221592,2,1.0,0.0,f,15,100.0,0.59
