,id,price,latitude,longitude,accommodates,bathrooms,bedrooms,is_location_exact,number_of_reviews,review_scores_rating,reviews_per_month
0,2595,225.0,40.75362,-73.98376999999999,2,1.0,0.0,f,46,95.0,0.39
1,5022,80.0,40.79851,-73.94399,1,1.0,,t,9,93.0,0.1
2,5099,200.0,40.74767,-73.975,2,1.0,1.0,f,75,89.0,0.6
3,5222,116.0,40.72764,-73.97949,2,1.0,1.0,t,94,95.0,0.74
4,5238,150.0,40.713440000000006,-73.99037,3,1.0,1.0,t,161,94.0,1.33
5,5295,135.0,40.80316,-73.96545,2,1.0,1.0,t,53,93.0,0.42
6,6090,120.0,40.7353,-74.00525,1,1.0,1.0,t,27,97.0,0.22
7,6848,140.0,40.70837,-73.95352,3,1.0,,t,154,91.0,1.24
8,7097,215.0,40.69169,-73.97185,4,1.0,1.0,t,200,97.0,1.72
9,7750,190.0,40.79685,-73.94872,4,1.0,2.0,t,0,,
10,9357,150.0,40.76715,-73.98533,2,1.0,,t,58,90.0,0.48
11,9657,180.0,40.7292,-73.98541999999999,3,1.0,1.0,t,29,93.0,0.24
12,11708,85.0,40.701859999999996,-73.92745,2,1.0,1.0,t,233,87.0,1.96
13,12299,120.0,40.66278,-73.97966,2,1.0,1.0,t,15,97.0,0.39
14,12343,150.0,40.81175,-73.94478000000001,3,1.0,1.0,t,99,97.0,0.85
15,12627,150.0,40.659440000000004,-73.96238000000001,2,1.0,1.0,t,11,96.0,0.47
16,12940,110.0,40.68111,-73.95591,2,1.0,1.0,t,61,88.0,0.52
17,14287,151.0,40.78635,-73.97008000000001,2,1.0,1.0,t,76,92.0,0.65
18,14314,144.0,40.73506,-73.95392,4,1.0,1.0,t,338,97.0,2.88
19,14322,200.0,40.73961,-73.98074,2,1.0,1.0,t,19,95.0,0.21
20,14377,150.0,40.70881,-73.9593,2,1.0,1.0,t,107,97.0,0.91
21,15396,375.0,40.74623,-73.9953,4,2.0,2.0,t,5,100.0,0.12
22,15711,250.0,40.77065,-73.95269,6,1.0,2.0,t,66,93.0,0.57
23,17037,230.0,40.72162,-73.98008,2,1.0,1.0,t,50,96.0,0.44
24,18127,170.0,40.72828,-73.98801,2,1.0,1.0,t,21,97.0,0.19
25,19159,110.0,40.82915,-73.95136,3,1.0,2.0,t,55,94.0,0.5
26,19169,285.0,40.718509999999995,-73.98892,4,1.0,2.0,t,72,87.0,0.63
27,19282,130.0,40.65401,-73.96323000000001,4,2.0,1.0,t,17,94.0,0.16
28,19601,800.0,40.69723,-73.99268000000001,8,3.5,3.0,t,25,93.0,0.24
29,19812,105.0,40.71833,-73.95748,2,1.0,1.0,t,61,90.0,0.53
30,20853,250.0,40.68035,-73.97162,4,2.5,2.0,t,22,99.0,0.31
31,20913,100.0,40.70984,-73.95775,2,1.0,1.0,t,168,81.0,1.56
32,21293,105.0,40.70093,-73.92609,4,1.0,1.0,t,119,89.0,1.05
33,21456,140.0,40.79764,-73.96177,2,1.0,1.0,t,82,93.0,0.72
34,22911,125.0,40.684129999999996,-73.92357,3,1.0,1.0,t,139,92.0,1.22
35,23135,175.0,40.67967,-74.00154,3,1.0,2.0,t,236,94.0,2.1
36,24285,220.0,40.66941,-73.98109000000001,9,3.0,4.0,t,88,96.0,0.79
37,25235,125.0,40.68373,-73.92376999999999,6,1.0,2.0,t,161,93.0,1.43
38,25406,80.0,40.71459,-73.94844,4,1.0,1.0,t,29,92.0,0.39
39,26785,120.0,40.66853,-73.98912,3,1.0,1.0,t,468,99.0,4.19
40,26933,350.0,40.7254,-73.98156999999999,6,2.0,2.0,t,7,90.0,0.06
41,26954,199.0,40.742940000000004,-73.98009,2,1.0,1.0,t,38,98.0,0.38
42,27385,225.0,40.72555,-73.97965,4,1.0,1.0,t,116,94.0,1.05
43,27644,170.0,40.82754,-73.94919,6,1.0,1.0,t,198,95.0,2.04
44,27659,400.0,40.66499,-73.97925,9,1.5,2.0,t,16,95.0,0.24
45,27883,100.0,40.72245,-73.98527,3,1.0,,t,25,97.0,0.23
46,28907,150.0,40.778,-73.94821999999999,4,1.0,1.0,t,21,99.0,0.19
47,29455,120.0,40.816179999999996,-73.94894000000001,5,1.0,1.0,t,155,92.0,1.41
48,29683,185.0,40.72392,-73.99143000000001,3,1.0,1.0,t,76,95.0,0.68
49,30927,105.0,40.713409999999996,-73.98855999999999,1,1.0,1.0,t,33,90.0,0.3
50,32023,125.0,40.682959999999994,-73.93661999999999,4,1.0,2.0,t,231,92.0,2.11
51,32100,250.0,40.73409,-73.95348,5,1.0,3.0,t,3,100.0,0.03
52,32289,199.0,40.71561,-73.94835,3,1.5,1.0,t,10,100.0,0.1
53,32329,160.0,40.72895,-73.98376999999999,1,1.0,1.0,t,3,100.0,0.04
54,32331,140.0,40.6857,-73.99183000000001,3,1.0,2.0,t,4,90.0,0.04
55,32965,115.0,40.682809999999996,-73.93524000000001,6,1.0,1.0,t,126,92.0,1.72
56,32969,160.0,40.715959999999995,-73.93938,2,1.0,1.0,t,11,100.0,0.11
57,33009,195.0,40.71492,-73.95935,2,1.0,1.0,t,241,99.0,2.18
58,33014,195.0,40.72354,-73.98295,3,1.0,2.0,t,31,88.0,0.29
59,36442,115.0,40.6741,-73.96595,4,1.0,2.0,t,4,70.0,0.05
60,36934,125.0,40.71363,-73.96398,2,1.0,1.0,t,27,88.0,0.25
61,38638,219.0,40.77711,-73.9527,2,1.0,1.0,t,126,95.0,1.15
62,39267,99.0,40.77456,-73.95323,4,1.0,1.0,f,237,83.0,2.61
63,40453,250.0,40.76123,-73.9642,1,1.0,1.0,t,4,100.0,0.08
64,41513,80.0,40.827040000000004,-73.94906999999999,4,1.0,1.0,t,2,80.0,0.04
65,42729,165.0,40.6783,-74.00135,2,,2.0,t,150,92.0,1.38
66,44161,150.0,40.71045,-73.9677,4,1.0,2.0,t,193,95.0,1.77
67,44221,196.0,40.70666,-74.01374,2,1.0,1.0,t,117,97.0,1.08
68,44288,170.0,40.737559999999995,-74.00405,2,1.0,1.0,f,86,95.0,0.79
69,45393,150.0,40.73423,-74.0046,2,1.0,1.0,t,38,97.0,0.35
70,45542,100.0,40.82374,-73.9373,4,1.0,2.0,t,18,96.0,1.64
71,46544,150.0,40.67994,-73.97863000000001,2,1.0,1.0,t,52,93.0,0.49
72,47362,175.0,40.68237,-73.9415,2,1.0,1.0,t,30,89.0,0.28
73,47370,125.0,40.74031,-73.99999,2,1.0,0.0,t,3,90.0,0.03
74,47926,275.0,40.76307,-73.99665,3,1.0,1.0,t,45,87.0,0.42
75,48719,299.0,40.71882,-73.98852,2,1.0,1.0,t,111,95.0,1.05
76,50447,135.0,40.6693,-73.98804,3,1.0,1.0,t,152,97.0,1.43
77,53137,195.0,40.762440000000005,-73.99271,2,1.0,1.0,t,10,60.0,0.92
78,53469,98.0,40.717220000000005,-73.87856,3,1.0,1.0,t,33,87.0,0.31
79,54158,249.0,40.7195,-73.95976,5,1.0,2.0,t,363,94.0,3.45
80,54544,121.0,40.81035,-73.94598,5,1.0,1.0,t,107,93.0,1.02
81,55467,140.0,40.71625,-73.93845,2,1.0,1.0,t,258,99.0,3.06
82,55737,199.0,40.728609999999996,-74.0049,2,1.0,1.0,t,129,96.0,1.21
83,56467,130.0,40.72752,-73.98432,3,1.0,1.0,t,208,96.0,2.06
84,56525,195.0,40.729,-73.95829,3,1.0,1.0,t,70,98.0,0.66
85,57166,140.0,40.77185,-73.90502,4,1.0,1.0,t,18,88.0,0.17
86,57297,159.0,40.68926,-73.99386,3,1.0,1.0,f,225,94.0,2.13
87,57618,250.0,40.7672,-73.98508000000001,4,1.0,1.0,t,96,96.0,0.97
88,57740,239.0,40.73012,-73.99053,2,1.0,1.0,t,7,97.0,0.07
89,57874,155.0,40.809309999999996,-73.94343,2,1.0,1.0,t,227,97.0,2.13
90,59014,150.0,40.72052,-73.98589,2,1.0,1.0,t,42,90.0,0.4
91,59121,140.0,40.70411,-73.89934000000001,9,1.0,3.0,t,1,100.0,0.01
92,59709,250.0,40.71756,-73.99503,5,1.0,2.0,t,20,90.0,0.2
93,59855,250.0,40.7589,-73.96991,4,1.0,1.0,t,82,92.0,0.77
94,60457,225.0,40.73194,-73.99474000000001,3,1.0,1.0,t,10,98.0,0.09
95,60611,125.0,40.79163,-73.94573000000001,2,1.0,1.0,t,184,97.0,1.82
96,60680,99.0,40.72654,-73.98049,5,1.0,1.0,t,128,89.0,1.22
97,60794,195.0,40.80021,-73.96070999999999,6,1.0,3.0,t,4,100.0,0.04
98,60948,140.0,40.80942,-73.93936,5,1.0,2.0,t,137,89.0,1.31
99,61167,135.0,40.719609999999996,-73.9954,4,1.0,2.0,t,21,92.0,0.2
