,id,price,latitude,longitude,accommodates,bathrooms,bedrooms,is_location_exact,number_of_reviews,review_scores_rating,reviews_per_month
0,17299,180.0,40.682759729881404,-73.93502572625734,8,1.0,3.0,t,35,81.0,0.46
1,32023,125.0,40.68295677256781,-73.9366195615412,4,1.0,2.0,t,167,91.0,1.84
2,93313,120.0,40.68313839062639,-73.93963312202473,5,1.0,2.0,t,47,93.0,0.58
3,316238,135.0,40.6921266377674,-73.95100162131004,6,1.0,2.0,t,6,96.0,0.09
4,863209,90.0,40.68193488420224,-73.93422077109203,2,1.0,1.0,t,106,93.0,1.73
5,2098030,90.0,40.67894534999258,-73.93934218561193,2,1.0,1.0,t,48,96.0,0.98
6,7260012,115.0,40.68781625848945,-73.93500301793006,6,1.0,1.0,t,0,,
7,8648134,130.0,40.68221568868761,-73.95284045783396,2,1.0,1.0,f,2,100.0,0.07
8,9234132,59.0,40.683432939360316,-73.92384405385631,2,1.0,1.0,t,0,,
9,9370403,130.0,40.68780166413804,-73.95215091391441,4,1.0,2.0,t,0,,
10,20268134,85.0,40.690738108409995,-73.9369577420521,4,1.0,1.0,t,0,,
11,19345607,140.0,40.6924364309817,-73.94927932707428,2,1.0,2.0,t,1,100.0,0.17
12,16859716,120.0,40.69213835193398,-73.93995425134979,2,1.0,1.0,t,5,90.0,0.43
13,16374783,125.0,40.680088780374135,-73.94676146032863,5,1.0,1.0,t,6,97.0,0.48
14,14867152,50.0,40.691544274784384,-73.9309387624823,2,1.0,0.0,t,3,93.0,0.18
15,9976908,115.0,40.68500135025645,-73.93886264828284,2,1.0,2.0,t,3,80.0,0.12
16,8254640,200.0,40.68178488276024,-73.94178509540399,4,1.5,2.0,t,1,100.0,0.04
17,4218034,199.0,40.682661833500006,-73.91970615165073,8,2.5,4.0,t,143,93.0,3.72
18,5371463,99.0,40.69075710064074,-73.95481341005589,6,1.0,2.0,t,69,96.0,2.11
19,5065630,83.0,40.685737557296356,-73.95757970842581,2,1.0,2.0,t,0,,
20,1863930,120.0,40.68864197921617,-73.94165659834884,8,1.0,2.0,t,90,85.0,2.07
21,816503,85.0,40.69491966799264,-73.94883064352487,2,1.0,1.0,t,186,82.0,3.03
22,32965,115.0,40.68281304045724,-73.93524181855119,6,1.0,1.0,t,92,92.0,1.7
23,13543160,175.0,40.690677830073575,-73.95465327930846,6,2.0,2.0,t,5,96.0,0.3
24,12940,110.0,40.681112241394885,-73.95591103683243,3,1.0,2.0,t,47,85.0,0.48
25,1101224,182.0,40.6867409399215,-73.93845295689137,4,1.0,3.0,t,23,97.0,0.42
26,15341486,75.0,40.690143107472586,-73.93731516945317,2,1.0,1.0,t,8,93.0,0.52
27,19386444,150.0,40.68325519512454,-73.9244782198504,4,1.0,2.0,t,20,96.0,3.59
28,6269439,85.0,40.68739487855683,-73.94858755184966,2,1.0,1.0,t,3,87.0,0.1
29,1433897,144.0,40.687144722493855,-73.95775244564277,2,1.0,1.0,t,3,87.0,0.09
30,5695523,100.0,40.684209443037545,-73.92608200546631,4,1.0,1.0,t,48,98.0,1.61
31,6298691,135.0,40.69337001419446,-73.96007111034481,2,1.5,1.0,t,2,100.0,0.07
32,15783216,170.0,40.69394836965765,-73.95934330284398,7,1.0,3.0,t,69,99.0,4.84
33,11900,140.0,40.690177244358075,-73.95222336779693,4,1.0,2.0,t,144,90.0,1.48
34,1039984,130.0,40.682395057767636,-73.93596634182018,5,1.0,2.0,t,52,95.0,0.96
35,15535391,125.0,40.681274869478344,-73.92686053132336,6,1.0,1.0,t,15,89.0,1.22
36,5481762,159.0,40.68684824436853,-73.95526090111852,4,1.0,2.0,t,104,92.0,3.08
37,13877683,99.0,40.680817804279094,-73.91127793576823,3,1.0,0.0,t,68,97.0,3.81
38,486915,85.0,40.690870017116204,-73.94043055995178,5,1.0,1.0,t,127,88.0,1.87
39,4588678,100.0,40.68596239906135,-73.94068007739122,3,1.0,2.0,t,2,90.0,0.11
40,9916371,120.0,40.685384117711685,-73.94138486802035,4,1.0,2.0,t,3,100.0,0.17
41,17297,180.0,40.68134004994295,-73.93636742120849,12,1.0,3.0,t,47,80.0,0.67
42,13601777,1000.0,40.687855111254244,-73.95688385307264,16,1.0,1.0,t,9,98.0,0.5
43,1132771,200.0,40.68706310419813,-73.95960062126505,5,1.0,2.0,t,0,,
44,10980678,85.0,40.681102314531046,-73.95419947788454,1,1.0,1.0,t,7,97.0,0.8
45,5205123,150.0,40.68560496786557,-73.9533241709164,2,1.0,1.0,t,31,97.0,1.08
46,25235,125.0,40.683731618345774,-73.92376888978245,7,1.0,2.0,t,146,93.0,1.57
47,2960080,130.0,40.68485873445576,-73.94394802750115,2,1.0,1.0,t,19,,
48,15484901,125.0,40.68270809108032,-73.92990521317498,3,1.5,1.0,t,42,,
49,8210840,230.0,40.68497780573865,-73.93191886579342,4,2.0,3.0,t,125,98.0,4.72
50,16403092,120.0,40.69332420247217,-73.95023106202906,2,1.0,1.0,t,4,100.0,0.31
51,18689588,98.0,40.691707444288184,-73.95374432515742,3,1.0,0.0,t,3,93.0,0.46
52,14756913,120.0,40.6811185607044,-73.93019877816026,4,1.0,1.0,t,30,95.0,1.88
53,744227,175.0,40.69290507526585,-73.94268809826887,4,1.0,2.0,t,6,100.0,0.09
54,11582123,105.0,40.681654798126324,-73.93266946446012,5,1.0,1.0,f,37,94.0,1.74
55,1129105,100.0,40.68310321168424,-73.94434283844541,3,1.0,2.0,t,2,97.0,0.04
56,747419,90.0,40.683712530785584,-73.95603848687911,2,1.0,1.0,t,3,100.0,0.09
57,39704,135.0,40.683060947946245,-73.94658580197115,3,1.0,1.0,t,270,94.0,3.0
58,63657,160.0,40.68235785281246,-73.94313757897461,3,1.0,2.0,t,219,92.0,2.56
59,1851767,295.0,40.69321825240067,-73.94580750526687,7,2.5,3.0,t,125,96.0,2.55
60,3316877,150.0,40.69789881625568,-73.94125945366768,2,1.0,2.0,t,0,,
61,8272818,469.0,40.67803803957154,-73.9099724624788,8,2.0,3.0,t,5,96.0,0.2
62,16914748,109.0,40.68497670869301,-73.92612700449122,2,1.0,1.0,t,2,100.0,0.23
63,5160511,160.0,40.691524064213034,-73.94281523338934,4,1.0,2.0,t,1,100.0,0.03
64,9714870,120.0,40.686746733724696,-73.95865432154136,2,1.0,1.0,t,4,90.0,0.24
65,279969,100.0,40.68255009824547,-73.91956863387489,4,1.0,1.0,t,32,90.0,0.46
66,68403,145.0,40.682996131339294,-73.91980619194557,5,1.0,2.0,t,93,89.0,1.12
67,15854475,95.0,40.68089815589754,-73.95051469155244,4,1.0,1.0,t,3,93.0,0.24
68,9422573,100.0,40.68041084586275,-73.9361196789088,3,1.0,0.0,t,38,96.0,1.48
69,4968633,95.0,40.68045117997665,-73.93796045421172,2,1.0,0.0,t,18,100.0,0.72
70,13237765,75.0,40.68322580954111,-73.94258403286629,2,1.0,1.0,t,3,87.0,0.16
71,18612707,160.0,40.683975230724975,-73.94510218286128,4,1.0,2.0,t,11,96.0,1.49
72,6619984,189.0,40.68023308790226,-73.91046758423242,4,2.0,2.0,t,33,95.0,1.13
73,15598548,139.0,40.68084157959337,-73.9111562452748,6,1.5,1.0,t,64,98.0,4.45
74,837503,115.0,40.691651836534355,-73.95456342009547,2,1.0,1.0,t,161,93.0,2.62
75,18054268,260.0,40.69423829199842,-73.93849787552453,10,2.0,4.0,t,23,97.0,2.57
76,187566,99.0,40.69242348303647,-73.95096588545421,2,1.0,1.0,t,130,96.0,1.69
77,14187475,200.0,40.68805525314852,-73.95491323737454,2,1.0,1.0,t,13,100.0,0.75
78,197942,99.0,40.684972789400526,-73.95592495474811,4,1.0,2.0,t,165,95.0,2.14
79,13063036,250.0,40.68995774251717,-73.94053469410667,5,2.0,2.0,t,1,100.0,0.05
80,10164008,95.0,40.683946718121184,-73.93883799489639,2,1.0,0.0,t,7,86.0,0.29
81,257097,200.0,40.68225621850733,-73.9547325772705,3,1.0,2.0,t,22,96.0,0.29
82,16085546,150.0,40.68618750050585,-73.95865674012137,4,1.0,1.0,t,0,,
83,3710436,180.0,40.67861520391983,-73.94686951449762,8,1.0,3.0,t,81,88.0,2.16
84,1914630,135.0,40.69309053625013,-73.959212887357,2,1.0,1.0,t,9,98.0,0.21
85,1520806,170.0,40.68083765120145,-73.92803684500453,6,1.0,2.0,t,96,90.0,1.96
86,3035054,220.0,40.67881535435949,-73.92649329254513,7,2.0,3.0,t,25,90.0,0.78
87,7680750,100.0,40.68022163228156,-73.92795195912134,4,1.0,2.0,t,75,92.0,2.73
88,1778294,120.0,40.68930632567388,-73.95547798431305,4,1.0,1.0,t,16,100.0,0.65
89,9751043,115.0,40.69227034777894,-73.9518749897855,3,1.0,2.0,t,63,93.0,2.63
90,6359526,185.0,40.68392463346506,-73.95353855531566,2,1.0,1.0,t,3,93.0,0.13
91,11325635,195.0,40.68078761537452,-73.95555687400798,3,1.0,1.0,t,62,98.0,2.76
92,22178497,80.0,40.68390118399085,-73.92609217101051,4,1.0,1.0,t,0,,
93,13461123,100.0,40.69261459376105,-73.95068691105733,3,1.0,1.0,t,3,100.0,0.16
94,4149022,150.0,40.68172338948306,-73.93724665898011,4,1.0,1.0,t,25,94.0,0.66
95,12433302,170.0,40.687195524184105,-73.95230980442167,4,1.0,1.0,t,33,96.0,1.64
96,3877315,86.0,40.68989621462264,-73.92646092887851,2,1.0,1.0,t,125,94.0,3.1
97,82928,185.0,40.682397146080326,-73.94614608383114,6,1.0,2.0,t,26,99.0,1.05
98,4384181,83.0,40.69017233531029,-73.9395100618712,4,1.0,2.0,t,5,88.0,5.0
99,94477,175.0,40.693047569322,-73.93185167051601,6,1.0,2.0,t,245,95.0,4.32
100,10086344,100.0,40.67963384265461,-73.91253105275578,5,1.0,2.0,t,1,100.0,1.0
101,4378951,110.0,40.685784860718705,-73.93964567450331,3,1.0,2.0,t,154,97.0,4.17
102,5605822,190.0,40.68174504221015,-73.93885679546639,5,1.0,2.0,t,101,97.0,2.99
103,1652996,160.0,40.680049079096335,-73.93910898884205,5,1.0,1.0,t,127,97.0,2.45
104,19057073,125.0,40.68932453028088,-73.94947042570824,4,1.0,1.0,t,10,94.0,1.6
105,106647,145.0,40.68504858048444,-73.95683668972062,4,1.0,1.0,t,70,97.0,0.86
106,642682,120.0,40.69381639222175,-73.95001746180294,4,1.0,1.0,t,30,93.0,1.04
107,4188351,116.0,40.69388803423706,-73.9305808863097,2,1.0,1.0,t,102,97.0,12.8
108,13129021,200.0,40.68340236468969,-73.94161989624686,5,1.0,2.0,t,3,100.0,2.57
109,6316005,250.0,40.68067817650446,-73.92873977275777,6,2.0,2.0,t,115,94.0,3.56
